treeSize;insert_time;search_time;delete_time;theory_log
100;126;55;1550;166;
200;128;65;396;191;
300;117;64;215;205;
400;109;68;217;216;
500;106;67;300;224;
600;105;70;238;230;
700;112;71;248;236;
800;108;71;250;241;
900;111;75;247;245;
1000;115;75;261;249;
1100;113;76;262;252;
1200;114;75;268;255;
1300;115;78;275;258;
1400;117;78;277;261;
1500;116;81;286;263;
1600;117;85;292;266;
1700;120;84;293;268;
1800;116;86;292;270;
1900;119;91;304;272;
2000;119;87;303;274;
2100;123;89;318;275;
2200;121;90;309;277;
2300;121;92;310;279;
2400;122;93;315;280;
2500;122;90;323;282;
2600;121;96;319;283;
2700;129;99;368;284;
2800;107;92;328;286;
2900;107;79;325;287;
3000;103;81;324;288;
3100;134;150;373;289;
3200;107;91;363;291;
3300;109;86;335;292;
3400;111;98;367;293;
3500;108;85;337;294;
3600;108;88;331;295;
3700;109;87;341;296;
3800;121;88;375;297;
3900;109;89;342;298;
4000;112;91;355;299;
4100;112;95;346;300;
4200;109;92;345;300;
4300;110;92;349;301;
4400;120;91;410;302;
4500;122;95;353;303;
4600;118;92;343;304;
4700;119;94;351;304;
4800;246;101;387;305;
4900;134;135;366;306;
5000;128;97;370;307;
5100;129;109;422;307;
5200;124;109;350;308;
5300;119;97;343;309;
5400;125;94;351;309;
5500;125;92;359;310;
5600;119;93;351;311;
5700;120;95;347;311;
5800;124;96;350;312;
5900;127;98;442;313;
6000;122;96;369;313;
6100;122;97;368;314;
6200;127;99;360;314;
6300;122;98;402;315;
6400;124;96;364;316;
6500;123;97;367;316;
6600;128;100;363;317;
6700;127;101;416;317;
6800;124;99;365;318;
6900;123;99;364;318;
7000;129;100;368;319;
7100;133;99;434;319;
7200;130;106;372;320;
7300;134;112;425;320;
7400;131;103;364;321;
7500;143;102;382;321;
7600;126;104;364;322;
7700;124;101;364;322;
7800;224;107;438;323;
7900;134;108;418;323;
8000;135;125;388;324;
8100;146;105;418;324;
8200;126;104;376;325;
8300;121;101;367;325;
8400;134;126;892;325;
8500;133;105;283;326;
8600;136;104;273;326;
8700;128;105;331;327;
8800;123;103;271;327;
8900;123;104;283;327;
9000;128;104;320;328;
9100;122;103;275;328;
9200;124;111;281;329;
9300;142;136;372;329;
9400;156;117;355;329;
9500;134;110;275;330;
9600;140;112;291;330;
9700;134;110;295;331;
9800;132;110;344;331;
9900;126;111;283;331;
10000;125;113;289;332;
